Current epoch = 1
IN | IN = -3.3668
TO | PRP$ = -3.94714
. | PRP$ = -3.78909
VBZ | PRP$ = -3.77827
NNPS | PRP$ = -3.76339
PRP | PRP$ = -3.92172
PRP$ | PRP$ = -3.88124
VB | PRP$ = -3.87342
JJ | PRP$ = -3.96933
MD | PRP$ = -3.82561
VBG | PRP$ = -3.99719
RBR | PRP$ = -3.90751
: | PRP$ = -3.89573
WP | PRP$ = -3.83517
WDT | PRP$ = -3.86366
JJR | PRP$ = -3.9006
PDT | PRP$ = -3.8083
RBS | PRP$ = -3.83258
WRB | PRP$ = -3.82318
JJS | PRP$ = -3.90052
$ | PRP$ = -3.86919
RP | PRP$ = -3.83241
FW | PRP$ = -3.74735
EX | PRP$ = -3.82783
SYM | PRP$ = -3.72019
# | PRP$ = -3.74127
LS | PRP$ = -3.73642
UH | PRP$ = -3.73614
WP$ | PRP$ = -3.74007
IN | VB = -1.54767
DT | VB = -4.88408
NNP | VB = -3.61418
CD | VB = -6.16441
NN | VB = -1.50625
`` | VB = -5.06866
'' | VB = -5.34641
POS | VB = -11.0472
( | VB = -9.2793
VBN | VB = -3.05418
NNS | VB = -1.97112
VBP | VB = -5.21
, | VB = -3.52644
CC | VB = -4.00494
) | VB = -9.37184
VBD | VB = -5.03197
RB | VB = -2.85494
TO | VB = -2.6483
. | VB = -4.61961
VBZ | VB = -4.89541
NNPS | VB = -7.5736
PRP | VB = -4.08908
PRP$ | VB = -8.83617
VB | VB = -4.80447
JJ | VB = -3.53454
MD | VB = -4.8661
VBG | VB = -3.54716
RBR | VB = -6.24679
: | VB = -6.01147
WP | VB = -5.86175
WDT | VB = -6.3597
JJR | VB = -6.12924
PDT | VB = -9.76656
RBS | VB = -9.15472
WRB | VB = -5.00774
JJS | VB = -7.13863
$ | VB = -5.42536
RP | VB = -4.52019
FW | VB = -10.3103
EX | VB = -7.94774
SYM | VB = -11.2117
# | VB = -9.98866
LS | VB = -10.7114
UH | VB = -10.5218
WP$ | VB = -10.6163
IN | JJ = -1.51656
DT | JJ = -2.6566
NNP | JJ = -4.81989
CD | JJ = -3.68608
NN | JJ = -3.28433
`` | JJ = -3.98626
'' | JJ = -3.98532
POS | JJ = -6.95071
( | JJ = -5.51709
VBN | JJ = -4.66966
NNS | JJ = -5.08108
VBP | JJ = -7.38543
, | JJ = -2.87993
CC | JJ = -2.36375
) | JJ = -5.56622
VBD | JJ = -6.77912
RB | JJ = -1.80667
TO | JJ = -2.17282
. | JJ = -5.79915
VBZ | JJ = -6.74407
NNPS | JJ = -7.58814
PRP | JJ = -5.75896
PRP$ | JJ = -5.76083
VB | JJ = -10.3251
JJ | JJ = -3.98114
MD | JJ = -6.56154
VBG | JJ = -4.78348
RBR | JJ = -3.29363
: | JJ = -4.65897
WP | JJ = -6.16728
WDT | JJ = -6.94774
JJR | JJ = -4.77021
PDT | JJ = -6.31315
RBS | JJ = -3.99018
WRB | JJ = -4.91263
JJS | JJ = -5.24839
$ | JJ = -4.97027
RP | JJ = -5.08991
FW | JJ = -7.40415
EX | JJ = -6.93769
SYM | JJ = -7.88843
# | JJ = -8.04661
LS | JJ = -7.80323
UH | JJ = -7.66543
WP$ | JJ = -7.20887
IN | MD = -3.32648
DT | MD = -7.70465
NNP | MD = -3.02325
CD | MD = -7.35084
NN | MD = -2.33516
`` | MD = -4.258
'' | MD = -4.42429
POS | MD = -12.3065
( | MD = -7.50172
VBN | MD = -5.4069
NNS | MD = -2.69549
VBP | MD = -6.48985
, | MD = -2.44322
CC | MD = -3.60848
) | MD = -7.48728
VBD | MD = -5.80883
RB | MD = -2.35923
TO | MD = -4.33021
. | MD = -2.32052
VBZ | MD = -5.49539
NNPS | MD = -6.40863
PRP | MD = -2.76834
PRP$ | MD = -13.6692
VB | MD = -1.29139
JJ | MD = -6.99882
MD | MD = -5.50531
VBG | MD = -4.83666
RBR | MD = -7.6771
: | MD = -5.7958
WP | MD = -4.86909
WDT | MD = -3.96553
JJR | MD = -8.43712
PDT | MD = -11.6161
RBS | MD = -10.0074
WRB | MD = -6.23796
JJS | MD = -9.22978
$ | MD = -6.14215
RP | MD = -7.12453
FW | MD = -9.70074
EX | MD = -6.23107
SYM | MD = -11.15
# | MD = -9.80926
LS | MD = -10.6019
UH | MD = -10.142
WP$ | MD = -12.2481
IN | VBG = -1.35384
DT | VBG = -5.0045
NNP | VBG = -3.63368
CD | VBG = -5.52826
NN | VBG = -1.51161
`` | VBG = -5.36278
'' | VBG = -5.81119
POS | VBG = -11.563
( | VBG = -8.98711
VBN | VBG = -4.00964
NNS | VBG = -1.96342
VBP | VBG = -5.9981
, | VBG = -3.67049
CC | VBG = -3.95028
) | VBG = -9.08003
VBD | VBG = -4.98778
RB | VBG = -2.68925
TO | VBG = -2.34944
. | VBG = -5.665
VBZ | VBG = -5.21853
NNPS | VBG = -7.72589
PRP | VBG = -4.76452
PRP$ | VBG = -9.78624
VB | VBG = -5.09912
JJ | VBG = -4.25132
MD | VBG = -5.10692
VBG | VBG = -4.00415
RBR | VBG = -5.41162
: | VBG = -6.22362
WP | VBG = -6.41322
WDT | VBG = -7.12937
JJR | VBG = -6.08671
PDT | VBG = -9.97405
RBS | VBG = -8.90702
WRB | VBG = -5.16856
JJS | VBG = -7.19543
$ | VBG = -4.77496
RP | VBG = -4.49042
FW | VBG = -10.4705
EX | VBG = -8.87726
SYM | VBG = -11.4193
# | VBG = -10.0361
LS | VBG = -11.0636
UH | VBG = -10.7591
WP$ | VBG = -10.9625
IN | RBR = -0.988317
DT | RBR = -3.41077
NNP | RBR = -3.25768
CD | RBR = -4.65631
NN | RBR = -1.44714
`` | RBR = -5.4832
'' | RBR = -5.90763
POS | RBR = -9.66364
( | RBR = -8.74954
VBN | RBR = -4.2393
NNS | RBR = -3.29665
VBP | RBR = -6.39186
, | RBR = -3.05964
CC | RBR = -3.3525
) | RBR = -8.85378
VBD | RBR = -5.55937
RB | RBR = -3.10143
TO | RBR = -3.11966
. | RBR = -6.29969
VBZ | RBR = -5.67802
NNPS | RBR = -8.13148
PRP | RBR = -6.369
PRP$ | RBR = -8.04473
VB | RBR = -12.2709
JJ | RBR = -3.17894
MD | RBR = -5.87783
VBG | RBR = -4.27785
RBR | RBR = -6.75806
: | RBR = -6.24691
WP | RBR = -8.37518
WDT | RBR = -8.4463
JJR | RBR = -6.26131
PDT | RBR = -9.82299
RBS | RBR = -9.90784
WRB | RBR = -7.78614
JJS | RBR = -7.18261
$ | RBR = -5.72175
RP | RBR = -8.04597
FW | RBR = -10.7511
EX | RBR = -10.4753
SYM | RBR = -12.6203
# | RBR = -11.5348
LS | RBR = -12.4352
UH | RBR = -12.0792
WP$ | RBR = -11.0269
IN | : = -2.70176
DT | : = -3.26044
NNP | : = -3.08119
CD | : = -3.51941
NN | : = -2.92598
`` | : = -3.61626
'' | : = -3.63678
POS | : = -4.37843
( | : = -4.1793
VBN | : = -3.54424
NNS | : = -3.46201
VBP | : = -4.02803
, | : = -2.91855
CC | : = -3.1061
) | : = -4.19521
VBD | : = -3.71506
RB | : = -3.20835
TO | : = -3.31851
. | : = -3.58728
VBZ | : = -3.78154
NNPS | : = -4.18832
PRP | : = -3.94751
PRP$ | : = -4.42873
VB | : = -5.8829
JJ | : = -3.30646
MD | : = -3.86932
VBG | : = -3.60427
RBR | : = -4.19413
: | : = -3.81678
WP | : = -4.3942
WDT | : = -4.31383
JJR | : = -3.99749
PDT | : = -4.74096
RBS | : = -4.73123
WRB | : = -4.4551
JJS | : = -4.20526
$ | : = -3.92649
RP | : = -4.76363
FW | : = -4.79181
EX | : = -4.79679
SYM | : = -5.32755
# | : = -5.15504
LS | : = -5.30369
UH | : = -5.1955
WP$ | : = -4.96679
IN | WP = -2.51912
DT | WP = -3.44333
NNP | WP = -3.24082
CD | WP = -3.47884
NN | WP = -2.63382
`` | WP = -3.68727
'' | WP = -3.82143
POS | WP = -5.30899
( | WP = -4.53682
VBN | WP = -3.48002
NNS | WP = -2.99367
VBP | WP = -4.0708
, | WP = -2.96086
CC | WP = -3.03879
) | WP = -4.55628
VBD | WP = -3.94457
RB | WP = -2.87075
TO | WP = -3.13474
. | WP = -3.85909
VBZ | WP = -3.98643
NNPS | WP = -4.51677
PRP | WP = -3.83625
PRP$ | WP = -4.80366
VB | WP = -5.3853
JJ | WP = -3.27013
MD | WP = -3.94691
VBG | WP = -3.39029
RBR | WP = -4.1161
: | WP = -3.9288
WP | WP = -4.47601
WDT | WP = -4.42036
JJR | WP = -4.03412
PDT | WP = -5.13103
RBS | WP = -4.99303
WRB | WP = -4.45429
JJS | WP = -4.2991
$ | WP = -3.90532
RP | WP = -4.62617
FW | WP = -5.2831
EX | WP = -5.03107
SYM | WP = -5.82941
# | WP = -5.5254
LS | WP = -5.757
UH | WP = -5.63863
WP$ | WP = -5.49991
IN | WDT = -3.4043
DT | WDT = -3.5684
NNP | WDT = -3.58789
CD | WDT = -3.84319
NN | WDT = -3.57822
`` | WDT = -3.67209
'' | WDT = -3.61451
POS | WDT = -3.88619
( | WDT = -3.95317
VBN | WDT = -3.59652
NNS | WDT = -3.81546
VBP | WDT = -3.89046
, | WDT = -3.44217
CC | WDT = -3.54348
) | WDT = -3.9575
VBD | WDT = -3.82699
RB | WDT = -3.6023
TO | WDT = -3.61185
. | WDT = -3.53899
VBZ | WDT = -3.81129
NNPS | WDT = -3.97675
PRP | WDT = -3.7872
PRP$ | WDT = -3.91742
VB | WDT = -4.58956
JJ | WDT = -3.57986
MD | WDT = -3.86008
VBG | WDT = -3.75702
RBR | WDT = -3.98345
: | WDT = -3.7724
WP | WDT = -3.89926
WDT | WDT = -3.91189
JJR | WDT = -3.88091
PDT | WDT = -4.0877
RBS | WDT = -4.01219
WRB | WDT = -3.9052
JJS | WDT = -3.95647
$ | WDT = -3.96821
RP | WDT = -4.04684
FW | WDT = -4.12118
EX | WDT = -3.98795
SYM | WDT = -4.26437
# | WDT = -4.27286
LS | WDT = -4.23629
UH | WDT = -4.21657
WP$ | WDT = -4.13101
IN | JJR = -0.869338
DT | JJR = -4.05424
NNP | JJR = -4.85902
CD | JJR = -4.00969
NN | JJR = -2.77581
`` | JJR = -4.91345
'' | JJR = -5.01928
POS | JJR = -9.95232
( | JJR = -6.97864
VBN | JJR = -4.50343
NNS | JJR = -3.7922
VBP | JJR = -7.37191
, | JJR = -2.67014
CC | JJR = -2.65432
) | JJR = -7.03822
VBD | JJR = -6.63457
RB | JJR = -1.97053
TO | JJR = -2.48803
. | JJR = -5.78347
VBZ | JJR = -7.10322
NNPS | JJR = -8.43806
PRP | JJR = -5.97197
PRP$ | JJR = -8.06818
VB | JJR = -11.8535
JJ | JJR = -3.98371
MD | JJR = -6.65949
VBG | JJR = -4.73353
RBR | JJR = -4.83004
: | JJR = -5.62378
WP | JJR = -7.25134
WDT | JJR = -7.98867
JJR | JJR = -5.43986
PDT | JJR = -8.81594
RBS | JJR = -6.75344
WRB | JJR = -6.24743
JJS | JJR = -6.42531
$ | JJR = -5.89375
RP | JJR = -6.76526
FW | JJR = -9.77057
EX | JJR = -8.95741
SYM | JJR = -10.9013
# | JJR = -10.5504
LS | JJR = -10.6973
UH | JJR = -10.3819
WP$ | JJR = -9.91487
IN | PDT = -3.79174
DT | PDT = -3.69659
NNP | PDT = -3.65082
CD | PDT = -3.55541
NN | PDT = -3.59617
`` | PDT = -3.89315
'' | PDT = -4.00909
POS | PDT = -3.82858
( | PDT = -3.8211
VBN | PDT = -3.96939
NNS | PDT = -3.65488
VBP | PDT = -3.77474
, | PDT = -3.8641
CC | PDT = -3.79035
) | PDT = -3.82248
VBD | PDT = -3.72178
RB | PDT = -3.81143
TO | PDT = -3.84658
. | PDT = -4.17136
VBZ | PDT = -3.73627
NNPS | PDT = -3.7478
PRP | PDT = -3.97771
PRP$ | PDT = -3.80948
VB | PDT = -3.97417
JJ | PDT = -3.77314
MD | PDT = -3.75728
VBG | PDT = -3.74137
RBR | PDT = -3.80081
: | PDT = -3.84695
WP | PDT = -4.07629
WDT | PDT = -3.96766
JJR | PDT = -3.79938
PDT | PDT = -3.83362
RBS | PDT = -4.06524
WRB | PDT = -4.1176
JJS | PDT = -3.77207
$ | PDT = -3.60294
RP | PDT = -4.0686
FW | PDT = -3.85076
EX | PDT = -4.13833
SYM | PDT = -3.97014
# | PDT = -3.859
LS | PDT = -4.01309
UH | PDT = -3.98618
WP$ | PDT = -3.91021
IN | RBS = -2.44364
DT | RBS = -3.03776
NNP | RBS = -3.2735
CD | RBS = -3.28688
NN | RBS = -2.86144
`` | RBS = -3.7615
'' | RBS = -3.81544
POS | RBS = -4.53671
( | RBS = -4.3651
VBN | RBS = -3.44943
NNS | RBS = -3.41048
VBP | RBS = -4.11723
, | RBS = -2.98406
CC | RBS = -3.06345
) | RBS = -4.39063
VBD | RBS = -3.84548
RB | RBS = -3.14495
TO | RBS = -3.15084
. | RBS = -3.99611
VBZ | RBS = -3.97521
NNPS | RBS = -4.50911
PRP | RBS = -4.23646
PRP$ | RBS = -4.1309
VB | RBS = -6.74178
JJ | RBS = -3.03205
MD | RBS = -4.00002
VBG | RBS = -3.549
RBR | RBS = -4.04814
: | RBS = -3.90692
WP | RBS = -4.70527
WDT | RBS = -4.76469
JJR | RBS = -3.81515
PDT | RBS = -4.73287
RBS | RBS = -4.70669
WRB | RBS = -4.54439
JJS | RBS = -4.07039
$ | RBS = -3.95323
RP | RBS = -4.78041
FW | RBS = -5.06318
EX | RBS = -5.21991
SYM | RBS = -5.60693
# | RBS = -5.45083
LS | RBS = -5.59316
UH | RBS = -5.49129
WP$ | RBS = -5.04541
IN | WRB = -1.79762
DT | WRB = -3.45309
NNP | WRB = -3.46688
CD | WRB = -3.87976
NN | WRB = -2.26949
`` | WRB = -3.93923
'' | WRB = -4.06826
POS | WRB = -6.87596
( | WRB = -5.70578
VBN | WRB = -3.29249
NNS | WRB = -2.89687
VBP | WRB = -4.70676
, | WRB = -2.76454
CC | WRB = -2.88721
) | WRB = -5.74961
VBD | WRB = -4.59138
RB | WRB = -2.49467
TO | WRB = -2.7598
. | WRB = -4.14209
VBZ | WRB = -4.61719
NNPS | WRB = -5.72148
PRP | WRB = -4.15076
PRP$ | WRB = -5.67177
VB | WRB = -6.84705
JJ | WRB = -3.0784
MD | WRB = -4.51912
VBG | WRB = -3.44566
RBR | WRB = -4.56334
: | WRB = -4.4096
WP | WRB = -5.13791
WDT | WRB = -5.30174
JJR | WRB = -4.48172
PDT | WRB = -6.41918
RBS | WRB = -5.88943
WRB | WRB = -4.81305
JJS | WRB = -4.9939
$ | WRB = -4.52225
RP | WRB = -4.99648
FW | WRB = -6.88491
EX | WRB = -6.1124
SYM | WRB = -7.63606
# | WRB = -7.21841
LS | WRB = -7.44974
UH | WRB = -7.29933
WP$ | WRB = -7.02762
IN | JJS = -1.01523
DT | JJS = -1.7154
NNP | JJS = -3.94034
CD | JJS = -3.90067
NN | JJS = -2.9608
`` | JJS = -5.04508
'' | JJS = -4.94904
POS | JJS = -5.73785
( | JJS = -7.01325
VBN | JJS = -3.90622
NNS | JJS = -5.41953
VBP | JJS = -6.59453
, | JJS = -2.97977
CC | JJS = -3.07787
) | JJS = -7.11277
VBD | JJS = -5.67101
RB | JJS = -3.65238
TO | JJS = -2.97369
. | JJS = -6.09021
VBZ | JJS = -5.90278
NNPS | JJS = -7.79684
PRP | JJS = -7.21845
PRP$ | JJS = -4.50783
VB | JJS = -16.1018
JJ | JJS = -2.39036
MD | JJS = -6.21438
VBG | JJS = -4.85306
RBR | JJS = -5.58495
: | JJS = -5.47271
WP | JJS = -8.0832
WDT | JJS = -8.72203
JJR | JJS = -4.96769
PDT | JJS = -7.0411
RBS | JJS = -6.78894
WRB | JJS = -6.95297
JJS | JJS = -5.65564
$ | JJS = -5.8999
RP | JJS = -7.51658
FW | JJS = -8.63136
EX | JJS = -9.37748
SYM | JJS = -9.95171
# | JJS = -9.93439
LS | JJS = -9.96032
UH | JJS = -9.77919
WP$ | JJS = -7.86258
IN | $ = -2.07847
DT | $ = -3.95409
NNP | $ = -4.67726
CD | $ = -0.533274
NN | $ = -3.63863
`` | $ = -6.26438
'' | $ = -6.93399
POS | $ = -7.23292
( | $ = -4.2447
VBN | $ = -7.09493
NNS | $ = -4.41598
VBP | $ = -7.30774
, | $ = -3.06639
CC | $ = -2.78361
) | $ = -4.23749
VBD | $ = -5.96182
RB | $ = -3.71069
TO | $ = -5.06297
. | $ = -8.51772
VBZ | $ = -7.46217
NNPS | $ = -6.89152
PRP | $ = -8.95561
PRP$ | $ = -6.60938
VB | $ = -19.793
JJ | $ = -4.30832
MD | $ = -6.92549
VBG | $ = -5.60445
RBR | $ = -5.64342
: | $ = -5.81474
WP | $ = -10.5149
WDT | $ = -9.87362
JJR | $ = -4.84436
PDT | $ = -7.55852
RBS | $ = -8.0208
WRB | $ = -11.0781
JJS | $ = -5.40698
$ | $ = -5.53885
RP | $ = -12.8478
FW | $ = -8.20978
EX | $ = -11.8777
SYM | $ = -10.6945
# | $ = -10.3457
LS | $ = -11.2088
UH | $ = -10.5739
WP$ | $ = -8.81546
IN | RP = -1.90974
DT | RP = -3.36571
NNP | RP = -3.1142
CD | RP = -3.65434
NN | RP = -2.1903
`` | RP = -3.97212
'' | RP = -4.16883
POS | RP = -6.42089
( | RP = -5.44768
VBN | RP = -3.52535
NNS | RP = -2.83909
VBP | RP = -4.56439
, | RP = -2.84178
CC | RP = -2.96757
) | RP = -5.48621
VBD | RP = -4.14268
RB | RP = -2.6966
TO | RP = -2.81283
. | RP = -4.30137
VBZ | RP = -4.25223
NNPS | RP = -5.28594
PRP | RP = -4.23862
PRP$ | RP = -5.66732
VB | RP = -6.49082
JJ | RP = -3.20481
MD | RP = -4.24676
VBG | RP = -3.48796
RBR | RP = -4.40534
: | RP = -4.35616
WP | RP = -5.15999
WDT | RP = -5.25976
JJR | RP = -4.39565
PDT | RP = -6.17993
RBS | RP = -5.90054
WRB | RP = -4.85656
JJS | RP = -4.86996
$ | RP = -4.08707
RP | RP = -4.96036
FW | RP = -6.51145
EX | RP = -6.18374
SYM | RP = -7.30501
# | RP = -6.79022
LS | RP = -7.19919
UH | RP = -7.01746
WP$ | RP = -6.74687
IN | FW = -3.32539
DT | FW = -3.20685
NNP | FW = -3.13598
CD | FW = -3.33089
NN | FW = -3.29094
`` | FW = -3.78029
'' | FW = -3.83317
POS | FW = -3.35669
( | FW = -3.77511
VBN | FW = -3.7559
NNS | FW = -3.76973
VBP | FW = -3.69738
, | FW = -3.2992
CC | FW = -3.43859
) | FW = -3.78508
VBD | FW = -3.51701
RB | FW = -3.8129
TO | FW = -3.8955
. | FW = -3.82603
VBZ | FW = -3.57454
NNPS | FW = -3.70689
PRP | FW = -4.20402
PRP$ | FW = -3.60782
VB | FW = -6.16186
JJ | FW = -3.29343
MD | FW = -3.72945
VBG | FW = -3.68735
RBR | FW = -4.36458
: | FW = -3.7765
WP | FW = -4.51599
WDT | FW = -4.21695
JJR | FW = -3.86023
PDT | FW = -4.06825
RBS | FW = -4.64864
WRB | FW = -4.82016
JJS | FW = -3.88362
$ | FW = -3.86927
RP | FW = -5.17288
FW | FW = -4.08523
EX | FW = -4.63341
SYM | FW = -4.60748
# | FW = -4.51231
LS | FW = -4.67183
UH | FW = -4.59402
WP$ | FW = -4.18085
IN | EX = -3.69728
DT | EX = -3.76726
NNP | EX = -3.69553
CD | EX = -3.66602
NN | EX = -3.64667
`` | EX = -3.74198
'' | EX = -3.78057
POS | EX = -3.93843
( | EX = -3.74483
VBN | EX = -3.87551
NNS | EX = -3.72499
VBP | EX = -3.86793
, | EX = -3.63861
CC | EX = -3.63565
) | EX = -3.74432
VBD | EX = -3.86775
RB | EX = -3.63383
TO | EX = -3.79889
. | EX = -3.81338
VBZ | EX = -3.86027
NNPS | EX = -3.82404
PRP | EX = -3.81633
PRP$ | EX = -3.96897
VB | EX = -4.0998
JJ | EX = -3.80205
MD | EX = -3.85249
VBG | EX = -3.76094
RBR | EX = -3.86951
: | EX = -3.77444
WP | EX = -3.92704
WDT | EX = -3.81963
JJR | EX = -3.86915
PDT | EX = -3.95546
RBS | EX = -3.9662
WRB | EX = -4.0432
JJS | EX = -3.86832
$ | EX = -3.80706
RP | EX = -4.13812
FW | EX = -3.91097
EX | EX = -3.93897
SYM | EX = -4.03605
# | EX = -3.99786
LS | EX = -4.03961
UH | EX = -4.01254
WP$ | EX = -4.01835
IN | SYM = -3.25007
DT | SYM = -3.47929
NNP | SYM = -3.52542
CD | SYM = -3.69096
NN | SYM = -3.54693
`` | SYM = -3.69048
'' | SYM = -3.62461
POS | SYM = -3.82857
( | SYM = -3.88016
VBN | SYM = -3.61608
NNS | SYM = -3.82046
VBP | SYM = -3.94507
, | SYM = -3.35242
CC | SYM = -3.47888
) | SYM = -3.8908
VBD | SYM = -3.73443
RB | SYM = -3.58865
TO | SYM = -3.53817
. | SYM = -3.57211
VBZ | SYM = -3.8072
NNPS | SYM = -3.98452
PRP | SYM = -3.91617
PRP$ | SYM = -3.92767
VB | SYM = -5.10537
JJ | SYM = -3.53281
MD | SYM = -3.85413
VBG | SYM = -3.79191
RBR | SYM = -3.92513
: | SYM = -3.77599
WP | SYM = -4.01994
WDT | SYM = -4.07544
JJR | SYM = -3.81521
PDT | SYM = -4.10695
RBS | SYM = -4.00819
WRB | SYM = -3.97777
JJS | SYM = -3.92837
$ | SYM = -3.93017
RP | SYM = -4.16448
FW | SYM = -4.16407
EX | SYM = -4.18466
SYM | SYM = -4.36195
# | SYM = -4.36963
LS | SYM = -4.35262
UH | SYM = -4.3141
WP$ | SYM = -4.15971
IN | # = -2.4809
DT | # = -3.16028
NNP | # = -4.07587
CD | # = -0.812731
NN | # = -3.11913
`` | # = -5.47715
'' | # = -6.17388
POS | # = -5.42707
( | # = -3.99336
VBN | # = -5.71397
NNS | # = -3.53253
VBP | # = -5.4192
, | # = -3.69525
CC | # = -3.17261
) | # = -4.0055
VBD | # = -4.56012
RB | # = -3.73956
TO | # = -4.23628
. | # = -7.78334
VBZ | # = -5.57506
NNPS | # = -5.39497
PRP | # = -7.30536
PRP$ | # = -4.43332
VB | # = -13.5992
JJ | # = -3.46086
MD | # = -5.23605
VBG | # = -4.39898
RBR | # = -4.19788
: | # = -4.92885
WP | # = -8.27137
WDT | # = -7.93108
JJR | # = -3.71523
PDT | # = -5.35514
RBS | # = -6.24493
WRB | # = -8.27277
JJS | # = -3.99117
$ | # = -3.92507
RP | # = -8.89978
FW | # = -6.16768
EX | # = -9.29585
SYM | # = -7.69383
# | # = -7.28088
LS | # = -8.1291
UH | # = -7.74596
WP$ | # = -6.27254
IN | LS = -4.2476
DT | LS = -4.15299
NNP | LS = -4.19414
CD | LS = -4.2399
NN | LS = -4.31706
`` | LS = -4.0226
'' | LS = -3.93329
POS | LS = -3.72825
( | LS = -3.95466
VBN | LS = -3.85211
NNS | LS = -4.13731
VBP | LS = -3.83104
, | LS = -4.17729
CC | LS = -4.21997
) | LS = -3.94851
VBD | LS = -3.93929
RB | LS = -4.24757
TO | LS = -4.11661
. | LS = -3.76826
VBZ | LS = -3.92932
NNPS | LS = -3.8784
PRP | LS = -3.85569
PRP$ | LS = -3.72368
VB | LS = -3.49551
JJ | LS = -4.01978
MD | LS = -3.92239
VBG | LS = -4.04887
RBR | LS = -4.00359
: | LS = -3.97633
WP | LS = -3.69839
WDT | LS = -3.78893
JJR | LS = -3.91617
PDT | LS = -3.72904
RBS | LS = -3.71867
WRB | LS = -3.66266
JJS | LS = -3.89535
$ | LS = -4.10626
RP | LS = -3.6219
FW | LS = -3.72314
EX | LS = -3.58666
SYM | LS = -3.53836
# | LS = -3.64271
LS | LS = -3.52136
UH | LS = -3.56645
WP$ | LS = -3.60352
IN | UH = -3.54261
DT | UH = -3.96723
NNP | UH = -3.62806
CD | UH = -3.89549
NN | UH = -3.61719
`` | UH = -3.64907
'' | UH = -3.60929
POS | UH = -4.25734
( | UH = -3.82796
VBN | UH = -3.72852
NNS | UH = -3.63216
VBP | UH = -3.89312
, | UH = -3.4206
CC | UH = -3.56418
) | UH = -3.82687
VBD | UH = -3.82522
RB | UH = -3.51436
TO | UH = -3.69656
. | UH = -3.36924
VBZ | UH = -3.84748
NNPS | UH = -3.86706
PRP | UH = -3.57675
PRP$ | UH = -4.40619
VB | UH = -3.86928
JJ | UH = -3.87178
MD | UH = -3.82537
VBG | UH = -3.77084
RBR | UH = -3.99056
: | UH = -3.77283
WP | UH = -3.7264
WDT | UH = -3.67303
JJR | UH = -3.98399
PDT | UH = -4.26687
RBS | UH = -4.06442
WRB | UH = -3.86712
JJS | UH = -4.06964
$ | UH = -3.95625
RP | UH = -4.05076
FW | UH = -4.10583
EX | UH = -3.81824
SYM | UH = -4.24025
# | UH = -4.19635
LS | UH = -4.19314
UH | UH = -4.15244
WP$ | UH = -4.29581
IN | WP$ = -4.31533
DT | WP$ = -4.16344
NNP | WP$ = -4.18775
CD | WP$ = -4.09295
NN | WP$ = -4.20088
`` | WP$ = -3.92763
'' | WP$ = -3.91982
POS | WP$ = -3.87924
( | WP$ = -3.81882
VBN | WP$ = -4.04534
NNS | WP$ = -4.07363
VBP | WP$ = -3.93098
, | WP$ = -4.13798
CC | WP$ = -4.07811
) | WP$ = -3.80881
VBD | WP$ = -4.13226
RB | WP$ = -4.01647
TO | WP$ = -4.13989
. | WP$ = -3.91648
VBZ | WP$ = -4.04569
NNPS | WP$ = -3.87226
PRP | WP$ = -3.81335
PRP$ | WP$ = -3.85855
VB | WP$ = -3.24598
JJ | WP$ = -4.14744
MD | WP$ = -4.00961
VBG | WP$ = -3.99538
RBR | WP$ = -3.91827
: | WP$ = -3.91152
WP | WP$ = -3.73015
WDT | WP$ = -3.67672
JJR | WP$ = -3.98676
PDT | WP$ = -3.74623
RBS | WP$ = -3.70005
WRB | WP$ = -3.81838
JJS | WP$ = -3.90258
$ | WP$ = -4.00978
RP | WP$ = -3.79057
FW | WP$ = -3.68268
EX | WP$ = -3.54035
SYM | WP$ = -3.54683
# | WP$ = -3.61325
LS | WP$ = -3.53557
UH | WP$ = -3.56821
WP$ | WP$ = -3.69781
Current epoch = 13
IN | IN = -3.8867
DT | IN = -5.05441
NNP | IN = -2.01845
CD | IN = -3.95685
NN | IN = -1.00563
`` | IN = -5.69606
'' | IN = -6.92463
POS | IN = -8.65088
( | IN = -7.25158
VBN | IN = -5.6014
NNS | IN = -1.52235
VBP | IN = -4.01841
, | IN = -4.41564
CC | IN = -4.5804
) | IN = -7.3074
VBD | IN = -3.68286
RB | IN = -4.34083
TO | IN = -5.30826
. | IN = -6.68711
VBZ | IN = -3.60103
NNPS | IN = -4.81321
PRP | IN = -5.2339
PRP$ | IN = -8.42366
VB | IN = -5.09853
JJ | IN = -4.38614
MD | IN = -3.9246
VBG | IN = -3.47031
RBR | IN = -7.34008
: | IN = -5.92187
WP | IN = -7.62804
WDT | IN = -5.92278
JJR | IN = -6.47748
PDT | IN = -8.69679
RBS | IN = -11.4687
WRB | IN = -9.02697
JJS | IN = -6.62788
$ | IN = -3.82825
RP | IN = -8.94108
FW | IN = -8.12812
EX | IN = -9.11011
SYM | IN = -10.2592
# | IN = -8.1908
LS | IN = -10.2935
UH | IN = -9.85641
WP$ | IN = -9.70488
IN | DT = -1.10129
DT | DT = -3.53551
NNP | DT = -3.70126
CD | DT = -3.36243
NN | DT = -2.80216
`` | DT = -4.94
'' | DT = -4.87706
POS | DT = -6.78831
( | DT = -5.94762
VBN | DT = -3.21391
NNS | DT = -3.05862
VBP | DT = -4.87902
, | DT = -2.90602
CC | DT = -3.3422
) | DT = -6.00254
VBD | DT = -3.79644
RB | DT = -3.461
TO | DT = -2.69906
. | DT = -4.6911
